,cap.english,cap.universal,categories.content,categories.friend,categories.network,categories.sentiment,categories.temporal,categories.user,display_scores.content,display_scores.english,display_scores.friend,display_scores.network,display_scores.sentiment,display_scores.temporal,display_scores.universal,display_scores.user,scores.english,scores.universal,user.id_str,list2,bot
1630,0.006043447,0.016452305,0.047633404,0.283778917,0.122431359,0.0384138,0.123822034,0.089707323,0.2,0.7,1.4,0.6,0.2,0.6,1.1,0.4,0.135582577,0.221795688,2944726330,Random,FALSE
1631,0.018904417,0.083851147,0.621031119,0.283778917,0.508547261,0.655211755,0.218426911,0.500374835,3.1,1.3,1.4,2.5,3.3,1.1,2.4,2.5,0.252653217,0.474488541,1021990130230450000,Random,FALSE
1632,0.016566752,0.008048111,0.132523774,0.159457582,0.059581537,0.227500288,0.188341809,0.632401321,0.7,1.2,0.8,0.3,1.1,0.9,0.7,3.2,0.236883777,0.148120708,1005023034443320000,Random,FALSE
1633,0.420205046,0.531963409,0.188451281,0.341192636,0.360540536,0.277655342,0.105016524,0.89712048,0.9,3.8,1.7,1.8,1.4,0.5,4.1,4.5,0.756585473,0.824211883,858780773914161000,Random,TRUE
1634,0.002234495,0.003353677,0.058082395,0.159457582,0.066761329,0.04955679,0.099331419,0.054256591,0.3,0.3,0.8,0.3,0.2,0.5,0.4,0.3,0.062633878,0.076513107,2636542306,Random,FALSE
1635,0.004268306,0.00272963,0.27456232,0.099940269,0.194173786,0.227500288,0.11725226,0.072487975,1.4,0.5,0.5,1,1.1,0.6,0.3,0.4,0.108277007,0.060780114,2230289270,Random,FALSE
1636,0.001482813,0.002571044,0.041686826,0.142317413,0.079046475,0.149179335,0.145447808,0.046849714,0.2,0.2,0.7,0.4,0.7,0.7,0.3,0.2,0.035465933,0.056244912,75810148,Random,FALSE
1637,0.004268306,0.00430424,0.044565652,0.106126161,0.129106336,0.076726235,0.083889305,0.072487975,0.2,0.5,0.5,0.6,0.4,0.4,0.5,0.4,0.108277007,0.095902762,720305731166048000,Random,FALSE
1638,0.00136119,0.002910297,0.075375337,0.112647015,0.056268845,0.194309275,0.05938086,0.040410786,0.4,0.2,0.6,0.3,1,0.3,0.3,0.2,0.030068974,0.065655562,2833300796,Random,FALSE
1639,0.011259347,0.075193114,0.234880083,0.283778917,0.213883707,0.194309275,0.137911216,0.650178254,1.2,1,1.4,1.1,1,0.7,2.3,3.3,0.193749479,0.454005729,929468053817044000,Random,FALSE
1640,0.001218379,0.001865505,0.07065346,0.057299337,0.093366114,0.139219666,0.074839956,0.027817973,0.4,0.1,0.3,0.5,0.7,0.4,0.2,0.1,0.023437101,0.032398755,1119365640,Random,FALSE
1641,0.041425126,0.116935967,0.085697796,0.371898875,0.257541174,0.319438573,0.070659494,0.442660374,0.4,1.8,1.9,1.3,1.6,0.4,2.7,2.2,0.360651907,0.536176148,1014866339465510000,Random,FALSE
